edad,fecha_nacimiento,jugador
37 años,11 de septiembre de 1985,rodnei
40 años,27 de septiembre de 1982,markus rosenberg
31 años,5 de junio de 1991,thanos petsos
40 años,12 de junio de 1982,andreas wolf
41 años,22 de junio de 1981,mathias abel
35 años,26 de mayo de 1987,olcay sahan
35 años,26 de septiembre de 1987,pierre de wit
36 años,4 de septiembre de 1986,aaron hunt
40 años,18 de febrero de 1982,christian tiffert
34 años,13 de octubre de 1988,lukas schmitz
35 años,22 de febrero de 1987,itay shechter
32 años,25 de marzo de 1990,mehmet ekici
26 años,24 de noviembre de 1996,wesley
NA,NA,martin amedick
40 años,17 de diciembre de 1981,tim wiese
34 años,16 de julio de 1988,bruno ecuele manga
38 años,23 de julio de 1984,yann jouffre
35 años,9 de abril de 1987,blaise matuidi
39 años,12 de enero de 1983,lucas mareque
35 años,7 de mayo de 1987,jeremy menez
36 años,17 de agosto de 1986,julien quercia
38 años,5 de marzo de 1984,guillaume hoarau
37 años,28 de enero de 1985,arnold mvuemba
34 años,19 de agosto de 1988,kevin monnetpaquet
39 años,31 de agosto de 1983,milan bisevac
35 años,11 de septiembre de 1987,clement chantome
35 años,9 de mayo de 1987,kevin gameiro
41 años,19 de julio de 1981,nene
38 años,18 de enero de 1984,jacquesalaixys romao
32 años,13 de febrero de 1990,mamadou sakho
36 años,20 de marzo de 1986,mathieu coutadeur
39 años,31 de octubre de 1983,christophe jallet
NA,NA,gra©gory bourillon
40 años,22 de febrero de 1982,siaka tiene
24 años,13 de abril de 1998,pedrinho
40 años,22 de noviembre de 1982,mathieu bodmer
NA,NA,siaka tia©na©
35 años,11 de septiembre de 1987,cla©ment chantome
44 años,28 de marzo de 1978,fabien audard
35 años,25 de febrero de 1987,mevlut erdinc
34 años,26 de octubre de 1988,lynel kitambala
39 años,30 de marzo de 1983,jeremie aliadiere
42 años,25 de enero de 1980,gregory pujol
35 años,29 de marzo de 1987,romain hamouma
38 años,29 de septiembre de 1984,renaud cohade
44 años,10 de diciembre de 1978,gregory proment
38 años,2 de diciembre de 1984,carlos sanchez
45 años,2 de enero de 1977,benjamin nivet
34 años,8 de diciembre de 1988,jerry van dam
34 años,3 de julio de 1988,thomas heurtaux
31 años,15 de noviembre de 1991,isimat mirin
34 años,12 de febrero de 1988,mathieu dossevi
32 años,27 de septiembre de 1990,frederic bulot
36 años,21 de junio de 1986,alexandre raineau
36 años,28 de noviembre de 1986,benjamin angoua
42 años,15 de abril de 1980,pierrealain frau
38 años,14 de febrero de 1984,remi gomis
41 años,19 de noviembre de 1981,gael danic
34 años,25 de abril de 1988,gaetan bong
42 años,22 de agosto de 1980,gregory leca
43 años,11 de agosto de 1979,nicolas seube
34 años,8 de diciembre de 1988,damien marcq
39 años,5 de agosto de 1983,jeremy sorbon
32 años,16 de febrero de 1990,mamadou samassa
44 años,11 de abril de 1978,david ducourtioux
39 años,5 de diciembre de 1983,foued kadir
41 años,5 de agosto de 1981,maik franz
32 años,21 de mayo de 1990,tunay torun
33 años,26 de mayo de 1989,tomas pekhart
32 años,29 de marzo de 1990,timothy chandler
30 años,15 de diciembre de 1991,pierremichel lasogga
46 años,11 de diciembre de 1976,timmy simons
43 años,3 de diciembre de 1979,andre mijatovic
34 años,9 de mayo de 1988,timm klose
45 años,10 de julio de 1977,levan kobiashvili
35 años,17 de marzo de 1987,patrick ebert
29 años,7 de enero de 1993,markus mendler
39 años,24 de febrero de 1983,javier pinola
37 años,1 de marzo de 1985,andreas ottl
34 años,1 de septiembre de 1988,almog cohen
39 años,22 de noviembre de 1983,peter niemeyer
40 años,12 de febrero de 1982,markus feulner
38 años,1 de enero de 1984,christian eigler
33 años,6 de marzo de 1989,philipp wollscheid
36 años,22 de enero de 1986,adrian ramos
38 años,29 de agosto de 1984,christian lell
37 años,28 de marzo de 1985,raffael
35 años,22 de junio de 1987,nikita rukavytsya
34 años,22 de julio de 1988,thomas kraft
32 años,25 de marzo de 1990,alexander esswein
34 años,22 de enero de 1988,jens hegeler
43 años,28 de septiembre de 1979,fabrice ehret
34 años,1 de marzo de 1988,nolan roux
37 años,22 de julio de 1985,jonathan ayite
37 años,16 de julio de 1985,youssef adnane
32 años,20 de julio de 1990,eric tie bi
39 años,21 de febrero de 1983,benoit lesoimier
39 años,26 de abril de 1983,bruno grougi
36 años,20 de septiembre de 1986,cedric cambon
31 años,30 de mayo de 1991,johan martial
32 años,24 de enero de 1990,tripy makonda
43 años,9 de abril de 1979,olivier sorlin
34 años,18 de mayo de 1988,paul baysse
32 años,21 de abril de 1990,ali mmadi
43 años,27 de julio de 1979,sidney govou
42 años,11 de julio de 1980,steeve elana
48 años,4 de noviembre de 1974,jerome leroy
41 años,4 de mayo de 1981,aldo angoula
33 años,9 de julio de 1989,ousmane coulibaly
31 años,23 de diciembre de 1990,brice dja djedje
42 años,25 de noviembre de 1980,romain poyet
31 años,23 de diciembre de 1990,brice dja djedja©
NA,NA,ca©dric cambon
36 años,25 de abril de 1986,quentin westberg
32 años,31 de diciembre de 1989,mohammed rabiu
41 años,17 de marzo de 1981,jhon culma jairo
34 años,9 de mayo de 1988,kevin berigaud
36 años,8 de septiembre de 1986,eden ben basat
43 años,28 de marzo de 1979,richard socrier
35 años,20 de abril de 1987,fabrice begeorgi
37 años,5 de abril de 1985,daniel congre
36 años,23 de marzo de 1986,frederic sammaritano
33 años,6 de agosto de 1989,aymen abdennour
37 años,21 de febrero de 1985,antoine devaux
32 años,21 de septiembre de 1990,mickael firmin
39 años,30 de agosto de 1983,mehdi mostefa
33 años,30 de enero de 1989,franck tabanou
41 años,12 de septiembre de 1981,johan cavalli
37 años,7 de marzo de 1985,mohamed fofana
37 años,15 de mayo de 1985,carl medjani
39 años,15 de marzo de 1983,umut bulut
33 años,16 de agosto de 1989,moussa sissoko
40 años,25 de mayo de 1982,christian kinkela
32 años,3 de agosto de 1990,benjamin andre
46 años,1 de julio de 1976,yoann poulard
36 años,31 de marzo de 1986,paulo machado
34 años,23 de julio de 1988,cheikh mbengue
37 años,17 de junio de 1985,jeanbaptiste pierazzi
37 años,23 de agosto de 1985,damien tiberi
30 años,11 de octubre de 1992,jean daniel akpa akpro
31 años,9 de octubre de 1991,andy delort
36 años,13 de agosto de 1986,xavier pentecote
31 años,19 de agosto de 1991,ali ahamada
35 años,15 de septiembre de 1987,aly cissokho
43 años,12 de mayo de 1979,david hellebuyck
35 años,26 de diciembre de 1986,hugo lloris
39 años,18 de abril de 1983,francois clerc
NA,NA,anthony ra©veillere
35 años,27 de septiembre de 1987,anthony mounier
41 años,2 de mayo de 1981,cris
38 años,1 de abril de 1984,eric mouloungui
39 años,2 de agosto de 1983,michel bastos
42 años,11 de septiembre de 1980,julien sable
24 años,18 de enero de 1998,lisandro
33 años,10 de marzo de 1989,maxime gonalons
36 años,12 de julio de 1986,didier digard
33 años,5 de julio de 1989,dejan lovren
37 años,2 de agosto de 1985,jimmy briand
35 años,13 de abril de 1987,luciano fabian monzon
37 años,6 de agosto de 1985,bafetimbi gomis
35 años,8 de octubre de 1987,larrys mabiala
NA,NA,luciano fabia¡n monza³n
40 años,24 de agosto de 1982,kim kallstrom
34 años,31 de agosto de 1988,david ospina
35 años,4 de noviembre de 1987,nemanja pejcinovic
43 años,18 de octubre de 1979,camel meriem
38 años,24 de septiembre de 1984,mickael pote
33 años,20 de enero de 1989,kevin gomis
30 años,12 de enero de 1992,ishak belfodil
37 años,18 de febrero de 1985,drissa diakite
33 años,23 de febrero de 1989,jeremy pied
36 años,21 de mayo de 1986,mario mandzukic
39 años,23 de marzo de 1983,sascha riether
33 años,22 de marzo de 1989,kevin pezzoni
40 años,24 de noviembre de 1982,christian eichner
38 años,14 de mayo de 1984,patrick ochs
37 años,4 de junio de 1985,lukas podolski
38 años,1 de mayo de 1984,miso brecko
38 años,18 de enero de 1984,makoto hasebe
43 años,18 de mayo de 1979,milivoje novakovic
35 años,1 de septiembre de 1987,christian trasch
34 años,21 de febrero de 1988,adil chihi
30 años,17 de junio de 1992,josue
38 años,1 de marzo de 1984,patrick helmes
33 años,26 de marzo de 1989,simon kjaer
45 años,1 de enero de 1977,hasan salihamidzic
34 años,25 de mayo de 1988,mato jajalo
37 años,4 de agosto de 1985,marco russ
38 años,11 de julio de 1984,martin lanig
39 años,8 de septiembre de 1983,diego benaglio
37 años,19 de febrero de 1985,slawomir peszko
38 años,14 de mayo de 1984,michael rensing
38 años,7 de junio de 1984,marcel schafer
37 años,21 de septiembre de 1985,pedro geromel
40 años,11 de julio de 1982,alexander madlung
33 años,13 de enero de 1989,michael schulze
38 años,5 de agosto de 1984,jordan loties
39 años,7 de febrero de 1983,jonathan brison
37 años,28 de julio de 1985,mathieu debuchy
42 años,2 de febrero de 1980,florent balmont
37 años,6 de marzo de 1985,bakaye traore
32 años,6 de junio de 1990,pape souare
42 años,25 de febrero de 1980,youssouf hadji
43 años,2 de marzo de 1979,damien gregorini
35 años,29 de marzo de 1987,dimitri payet
33 años,24 de enero de 1989,samba diakite
31 años,7 de enero de 1991,eden hazard
41 años,20 de mayo de 1981,pascal berenguer
39 años,29 de diciembre de 1982,marko basa
39 años,28 de junio de 1983,reynald lemaitre
34 años,18 de marzo de 1988,loosemy karaboue
36 años,19 de enero de 1986,moussa sow
38 años,8 de marzo de 1984,rio mavuba
42 años,12 de noviembre de 1980,benoit pedretti
39 años,23 de mayo de 1983,franck beria
48 años,14 de noviembre de 1974,andre luiz
NA,NA,mickaa«l landreau
38 años,10 de noviembre de 1984,ludovic obraniak
33 años,26 de septiembre de 1989,idrissa gana gueye
NA,NA,mickaa«l chra©tien
30 años,22 de enero de 1992,benjamin jeannot
33 años,18 de noviembre de 1989,ronny rodelin
36 años,30 de septiembre de 1986,olivier giroud
34 años,14 de marzo de 1988,delvin ndinga
32 años,8 de marzo de 1990,remy cabella
40 años,8 de enero de 1982,john utaka
33 años,31 de diciembre de 1988,alain traore
40 años,24 de mayo de 1982,laurent pionnier
38 años,4 de junio de 1984,henri bedimo
34 años,19 de abril de 1988,garry bocaly
33 años,10 de agosto de 1989,ben sahar
31 años,3 de febrero de 1991,willy boly
41 años,24 de diciembre de 1980,geoffrey dernis
38 años,28 de enero de 1984,issam jemaa
33 años,15 de mayo de 1989,mapou yangambiwa
37 años,2 de febrero de 1985,dennis oliech
36 años,19 de febrero de 1986,amadou sidibe
42 años,10 de septiembre de 1980,adama coulibaly
45 años,8 de agosto de 1977,romain pitau
32 años,25 de febrero de 1990,younes belhanda
40 años,11 de junio de 1982,kamel chafni
39 años,9 de diciembre de 1983,dariusz dudka
32 años,17 de marzo de 1990,abdelhamid el kaoutari
39 años,28 de mayo de 1983,marco estrada
NA,NA,la©on donovan
NA,NA,jamel saihi
39 años,22 de diciembre de 1982,souleymane camara
41 años,27 de marzo de 1981,cacau
39 años,30 de julio de 1983,cristian molinaro
41 años,3 de noviembre de 1981,jermaine jones
35 años,23 de enero de 1987,alexander baumjohann
39 años,12 de agosto de 1983,klaasjan huntelaar
35 años,24 de abril de 1987,serdar tasci
37 años,14 de agosto de 1985,christian gentner
35 años,10 de junio de 1987,martin harnik
41 años,15 de marzo de 1981,tamas hajnal
NA,NA,maza
36 años,7 de abril de 1986,christian fuchs
34 años,29 de febrero de 1988,benedikt howedes
33 años,16 de septiembre de 1989,marco hoger
31 años,8 de agosto de 1991,joel matip
30 años,23 de febrero de 1992,kyriakos papadopoulos
34 años,27 de septiembre de 1988,ralf fahrmann
45 años,27 de junio de 1977,raul
34 años,3 de agosto de 1988,sven ulreich
37 años,24 de febrero de 1985,william kvist
29 años,20 de septiembre de 1993,julian draxler
40 años,28 de diciembre de 1981,khalid boulahrouz
35 años,22 de septiembre de 1987,zdravko kuzmanovic
33 años,1 de noviembre de 1989,jan moravek
NA,NA,edu
36 años,16 de abril de 1986,shinji okazaki
39 años,8 de noviembre de 1983,pavel pogrebnyak
39 años,1 de abril de 1983,christian schulz
36 años,1 de junio de 1986,chinedu obasi
31 años,20 de febrero de 1991,peniel kokou mlapa
35 años,11 de diciembre de 1987,fabian johnson
39 años,18 de julio de 1983,jan schlaudraff
38 años,8 de octubre de 1984,sejad salihovic
42 años,16 de octubre de 1980,sergio pinto
33 años,12 de febrero de 1989,ronrobert zieler
32 años,15 de marzo de 1990,konstantin rausch
37 años,14 de junio de 1985,marvin compper
35 años,19 de diciembre de 1986,ryan babel
34 años,26 de agosto de 1988,lars stindl
35 años,13 de marzo de 1987,andreas beck
32 años,28 de febrero de 1990,sebastian rudy
39 años,8 de abril de 1983,edson braafheid
34 años,21 de junio de 1988,isaac vorsah
37 años,23 de octubre de 1985,mohammed abdellaoue
39 años,16 de enero de 1983,emanuel pogatetz
34 años,5 de diciembre de 1988,manuel schmiedebach
34 años,8 de noviembre de 1988,sven schipplock
31 años,2 de octubre de 1991,roberto firmino
38 años,20 de enero de 1984,karim haggui
39 años,18 de abril de 1983,sofian chahed
36 años,11 de diciembre de 1986,moritz stoppelkamp
36 años,19 de enero de 1986,carlao
35 años,2 de enero de 1987,loic remy
48 años,21 de septiembre de 1974,teddy richert
32 años,17 de diciembre de 1989,andre ayew
36 años,5 de julio de 1986,kevin anin
41 años,19 de enero de 1981,lucho gonzalez
32 años,1 de noviembre de 1990,sebastien corchia
41 años,15 de julio de 1981,alou diarra
38 años,10 de abril de 1984,damien perquis
38 años,2 de abril de 1984,jeremy morel
34 años,16 de enero de 1988,vincent nogueira
43 años,24 de diciembre de 1978,souleymane diawara
32 años,19 de febrero de 1990,ryad boudebouz
41 años,3 de mayo de 1981,benoit cheyrou
35 años,3 de septiembre de 1987,modibo maiga
36 años,20 de mayo de 1986,stephane mbia
41 años,16 de junio de 1981,sebastien roudet
37 años,20 de marzo de 1985,morgan amalfitano
34 años,10 de enero de 1988,marvin martin
41 años,6 de diciembre de 1981,rod fanni
38 años,28 de septiembre de 1984,mathieu valbuena
34 años,9 de febrero de 1988,charles kabore
39 años,9 de enero de 1983,yassin mikari
32 años,21 de octubre de 1990,mathieu peybernes
36 años,20 de mayo de 1986,sta©phane mbia
31 años,11 de septiembre de 1991,jordan ayew
37 años,28 de noviembre de 1985,landry nguemo
32 años,19 de septiembre de 1990,josua guilavogui
38 años,6 de abril de 1984,michael ciani
38 años,20 de octubre de 1984,florent sinamapongolle
40 años,5 de enero de 1982,jaroslav plasil
42 años,10 de febrero de 1980,sylvain marchal
39 años,19 de septiembre de 1983,jussie
36 años,28 de diciembre de 1985,benoit tremoulinas
42 años,7 de octubre de 1980,matthieu chalme
34 años,14 de abril de 1988,anthony modeste
38 años,20 de julio de 1984,gonzalo bergessio
38 años,26 de agosto de 1984,jeremy clement
33 años,18 de junio de 1989,pierreemerick aubameyang
34 años,26 de abril de 1988,bakary sako
37 años,19 de abril de 1985,nicolas mauricebelay
36 años,27 de septiembre de 1986,sta©phane ruffier
42 años,7 de octubre de 1980,matthieu chalma©
31 años,5 de febrero de 1991,loris nery
36 años,27 de septiembre de 1986,stephane ruffier
47 años,23 de septiembre de 1975,laurent batlles
36 años,25 de mayo de 1986,yoan gouffran
NA,NA,landry ngua©mo
NA,NA,ca©dric carrasso
NA,NA,benoa®t tra©moulinas
34 años,25 de abril de 1988,cheick diabate
41 años,26 de febrero de 1981,jeanpascal mignot
30 años,8 de febrero de 1992,idriss saadi
33 años,3 de julio de 1989,jean armel kana biyik
42 años,15 de marzo de 1980,gregory thil
35 años,24 de agosto de 1987,eric bautheac
35 años,3 de julio de 1987,benoit costil
38 años,25 de enero de 1984,brice jovial
33 años,6 de abril de 1989,thomas guerbert
35 años,25 de abril de 1987,abdoulrazak boukari
36 años,12 de abril de 1986,jonathan pitroipa
NA,NA,ka©vin tha©ophilecatherine
32 años,29 de junio de 1990,yann mvila
38 años,1 de mayo de 1984,victor hugo montano
42 años,17 de enero de 1980,jeandaniel padovani
33 años,10 de septiembre de 1989,younousse sankhare
36 años,3 de julio de 1986,romain danze
33 años,6 de agosto de 1989,tongo hamed doumbia
33 años,28 de octubre de 1989,kevin theophilecatherine
36 años,11 de agosto de 1986,zakaria diallo
36 años,10 de febrero de 1986,steven paulle
35 años,6 de abril de 1987,benjamin corgnet
40 años,5 de julio de 1982,julien feret
39 años,23 de marzo de 1983,kader mangane
42 años,6 de octubre de 1980,abdoulaye meite
33 años,18 de febrero de 1989,samuel souprayen
35 años,1 de septiembre de 1987,raphael caceres
34 años,9 de diciembre de 1988,georges mandjeck
36 años,4 de abril de 1986,alexander tettey
35 años,23 de abril de 1987,john boye
38 años,14 de abril de 1984,marco caligiuri
36 años,28 de mayo de 1986,sami allagui
33 años,27 de abril de 1989,lars bender
39 años,15 de octubre de 1983,andreas ivanschitz
32 años,17 de mayo de 1990,fabian giefer
43 años,28 de abril de 1979,nikolce noveski
42 años,4 de agosto de 1980,elkin soto
34 años,8 de febrero de 1988,renato augusto
33 años,1 de enero de 1989,stefan reinartz
44 años,30 de mayo de 1978,heinz muller
33 años,21 de julio de 1989,omer toprak
36 años,17 de marzo de 1986,eugen polanski
43 años,4 de agosto de 1979,bo svensson
32 años,6 de noviembre de 1990,andre schurrle
34 años,31 de enero de 1988,sidney sam
43 años,14 de diciembre de 1978,zdenek pospech
34 años,12 de junio de 1988,eren derdiyok
40 años,21 de enero de 1982,simon rolfes
37 años,13 de diciembre de 1984,michal kadlec
32 años,17 de diciembre de 1989,marcel risse
36 años,24 de octubre de 1986,niko bungert
34 años,16 de octubre de 1988,zoltan stieber
34 años,23 de agosto de 1988,daniel schwaab
31 años,15 de enero de 1991,nicolai jorgensen
33 años,23 de marzo de 1989,eric maxim choupomoting
38 años,25 de enero de 1984,stefan kiessling
32 años,1 de octubre de 1990,jan kirchhoff
32 años,4 de enero de 1990,toni kroos
32 años,21 de junio de 1990,havard nordtveit
37 años,10 de julio de 1985,mario gomez
38 años,1 de agosto de 1984,bastian schweinsteiger
39 años,5 de noviembre de 1983,mike hanke
35 años,23 de julio de 1987,luiz gustavo
29 años,12 de febrero de 1993,rafinha
42 años,16 de mayo de 1980,juan arango
39 años,12 de mayo de 1983,igor de camargo
33 años,31 de mayo de 1989,marco reus
30 años,30 de abril de 1992,marcandre ter stegen
34 años,3 de septiembre de 1988,jerome boateng
38 años,23 de enero de 1984,arjen robben
44 años,31 de octubre de 1978,filip daems
32 años,7 de abril de 1990,tony jantschke
33 años,13 de marzo de 1989,holger badstuber
33 años,13 de septiembre de 1989,thomas muller
41 años,28 de noviembre de 1981,roel brouwers
36 años,27 de marzo de 1986,manuel neuer
34 años,18 de febrero de 1988,roman neustadter
39 años,11 de noviembre de 1983,philipp lahm
34 años,6 de diciembre de 1988,nils petersen
33 años,24 de julio de 1989,sloan privat
27 años,19 de diciembre de 1994,mbaye niang
43 años,23 de noviembre de 1979,david sauget
34 años,13 de junio de 1988,edouard butin
NA,NA,alexis tha©baux
42 años,5 de julio de 1980,kandia traore
NA,NA,fra©da©ric bulot
37 años,17 de marzo de 1985,alexis thebaux
32 años,18 de septiembre de 1990,lewis holtby
42 años,21 de enero de 1980,kevin mckenna
31 años,22 de mayo de 1991,odise roshi
31 años,4 de agosto de 1991,christian clemens
36 años,29 de junio de 1986,jose jurado
34 años,7 de noviembre de 1988,anthony lippini
43 años,10 de noviembre de 1979,anthony reveillere
37 años,19 de agosto de 1985,leyti ndiaye
37 años,13 de julio de 1985,guillermo ochoa
42 años,18 de septiembre de 1980,ilan
33 años,16 de enero de 1989,paul lasne
34 años,27 de abril de 1988,bakary kone
32 años,2 de abril de 1990,miralem pjanic
30 años,11 de febrero de 1992,harry novillo
36 años,14 de diciembre de 1985,jakub blaszczykowski
34 años,16 de septiembre de 1988,dominik kaiser
36 años,17 de junio de 1986,alexandre cuvillier
38 años,10 de julio de 1984,mickael chretien
37 años,7 de agosto de 1985,loic perrin
31 años,1 de febrero de 1991,faouzi ghoulam
33 años,6 de abril de 1989,djamel bakar
33 años,5 de febrero de 1989,distel zola
39 años,12 de noviembre de 1983,paul aloo efoulou
43 años,30 de enero de 1979,raphael schafer
38 años,22 de mayo de 1984,didier ya konan
39 años,29 de octubre de 1983,malik fathi
42 años,3 de marzo de 1980,pavel krmas
32 años,2 de junio de 1990,oliver baumann
41 años,14 de septiembre de 1981,stefan reisinger
39 años,2 de mayo de 1983,carlos henrique
33 años,5 de agosto de 1989,gregory sertic
38 años,6 de abril de 1984,michaa«l ciani
38 años,1 de julio de 1984,gregory bourillon
34 años,17 de enero de 1988,abdou traore
35 años,16 de junio de 1987,per skjelbred
31 años,13 de noviembre de 1991,jeffrey bruma
30 años,8 de julio de 1992,heungmin son
35 años,13 de febrero de 1987,eljero elia
43 años,17 de mayo de 1979,david jarolim
43 años,18 de octubre de 1979,jaroslav drobny
35 años,18 de junio de 1987,raul bobadilla
39 años,18 de octubre de 1983,dante
31 años,8 de enero de 1991,lukas rupp
41 años,1 de junio de 1981,thorben marx
31 años,4 de febrero de 1991,matthew leckie
NA,NA,ceara
32 años,20 de febrero de 1990,abdoul razzagui camara
43 años,16 de febrero de 1979,stephane dalmat
37 años,9 de enero de 1985,santiago gentiletti
41 años,17 de marzo de 1981,jhon jairo culma
41 años,20 de febrero de 1981,nicolas penneteau
NA,NA,gaa«tan bong
42 años,13 de octubre de 1980,rudy mater
39 años,14 de marzo de 1983,chaher zarour
42 años,7 de octubre de 1980,pantxi sirieix
31 años,22 de agosto de 1991,adrien regattin
32 años,28 de octubre de 1990,baptiste reynet
39 años,16 de noviembre de 1983,lesly malouda
32 años,23 de julio de 1990,sanaa altama
NA,NA,abdoulaye ma©ita©
42 años,30 de enero de 1980,cedric varrault
39 años,7 de abril de 1983,franck ribery
33 años,27 de febrero de 1989,jacheoul koo
30 años,6 de mayo de 1992,takashi usami
45 años,13 de septiembre de 1977,hilton
37 años,20 de junio de 1985,aurelien chedjou
43 años,30 de marzo de 1979,stephane grichting
33 años,28 de agosto de 1989,cesar azpilicueta
NA,NA,ca©sar azpilicueta
41 años,19 de enero de 1981,lucho gonza¡lez
32 años,27 de marzo de 1990,nicolas nkoulou
37 años,11 de febrero de 1985,roy contout
NA,NA,ja©ra©my morel
37 años,28 de marzo de 1985,steve mandanda
34 años,10 de marzo de 1988,omar kossoko
43 años,6 de julio de 1979,fabrice abriel
36 años,14 de octubre de 1986,saber khelifa
34 años,12 de abril de 1988,yannick sagbo
39 años,14 de octubre de 1983,renato civelli
46 años,6 de marzo de 1976,cedric barbosa
35 años,21 de junio de 1987,sebastian prodl
35 años,11 de junio de 1987,gonzalo castro
46 años,26 de septiembre de 1976,michael ballack
41 años,2 de enero de 1981,hanno balitsch
33 años,19 de abril de 1989,marko arnautovic
46 años,4 de mayo de 1976,simon jentzsch
39 años,1 de septiembre de 1983,paul verhaegh
39 años,28 de junio de 1983,dorge kouemaha
34 años,15 de enero de 1988,sebastian langkamp
36 años,10 de junio de 1986,hajime hosogai
40 años,5 de abril de 1982,thomas hitzlsperger
39 años,2 de octubre de 1983,srdjan lakic
30 años,15 de enero de 1992,joshua king
30 años,22 de mayo de 1992,robin knoche
40 años,21 de agosto de 1982,oliver kirch
33 años,15 de mayo de 1989,miro varvodic
39 años,30 de julio de 1983,andrezinho
32 años,8 de julio de 1990,kevin trapp
30 años,16 de octubre de 1992,konstantinos fortounis
34 años,22 de enero de 1988,marcel schmelzer
34 años,10 de diciembre de 1988,neven subotic
30 años,4 de noviembre de 1992,julian wiessmeier
31 años,8 de marzo de 1991,robert mak
39 años,15 de mayo de 1983,gibril sankoh
43 años,18 de junio de 1979,andrew sinkala
41 años,18 de marzo de 1981,tom starke
34 años,21 de abril de 1988,ibrahima traore
44 años,7 de febrero de 1978,daniel van buyten
43 años,30 de marzo de 1979,anatoliy tymoshchuk
43 años,14 de septiembre de 1979,ivica olic
NA,NA,eric tia© bi
44 años,3 de octubre de 1978,claudio pizarro
33 años,8 de marzo de 1989,daniel williams
31 años,1 de marzo de 1991,mathias autret
33 años,6 de enero de 1989,fabien robert
32 años,21 de noviembre de 1990,mehdi courgnaud
33 años,1 de febrero de 1989,lamine kone
NA,NA,ja©ra©my sorbon
41 años,16 de abril de 1981,olivier sorin
35 años,22 de marzo de 1987,ludovic sane
37 años,5 de febrero de 1985,rudy haddad
38 años,3 de octubre de 1984,anthony le tallec
38 años,24 de abril de 1984,jeremy berthod
NA,NA,ja©ra©my berthod
32 años,26 de octubre de 1990,henri saivet
40 años,9 de octubre de 1982,fahid ben khalfallah
31 años,26 de mayo de 1991,chris mavinga
40 años,15 de agosto de 1982,joris marveaux
34 años,8 de enero de 1988,jires kemboekoko
46 años,18 de diciembre de 1975,cyril jeunechamp
34 años,12 de noviembre de 1988,benjamin moukandjo
33 años,27 de febrero de 1989,loic poujol
31 años,15 de noviembre de 1991,fouad rachid
31 años,8 de octubre de 1991,rafael dias
43 años,3 de abril de 1979,zoumana camara
38 años,2 de diciembre de 1984,carlos sa¡nchez
33 años,20 de junio de 1989,javier pastore
42 años,6 de enero de 1980,steed malbranque
35 años,16 de marzo de 1987,fabien lemoine
37 años,5 de diciembre de 1985,andrepierre gignac
43 años,19 de febrero de 1979,steven cherundolo
39 años,28 de agosto de 1983,christian pander
38 años,26 de octubre de 1984,jefferson farfan
34 años,2 de noviembre de 1988,stefano celozzi
